type w q nm qr ed no co qe eqe qre eqre rq rqr dq dqr
fw 160 0.232142857143 3 0.285714285714 14 10 0.14 0.316481291765 0.00554386530226 0.375270976343 0.0136972083322 106 167 -0.084338434622 -0.089556690629
fw 161 0.254399643573 3 0.283582089552 67 25 0.1072 0.302604963419 0.00226994046213 0.117725973448 0.00653790773297 130 166 -0.048205319846 0.165856116104
fw 162 0.212665406427 3 0.217391304348 23 12 0.159722222222 0.293152659247 0.00402645619171 0.266079152881 0.0108875445232 95 141 -0.08048725282 -0.048687848533
fw 163 0.479175343607 4 0.551020408163 49 27 0.0672153635117 0.397698759223 0.00302132570799 0.284717482564 0.00722211824829 281 250 0.081476584384 0.266302925599
fw 164 0.235938641344 3 0.189189189189 37 16 0.14453125 0.290032033728 0.00308487654278 0.190729889412 0.00899404594691 113 129.5 -0.054093392384 -0.00154070022300001
fw 165 0.16875 4 -0.1 20 12 0.138888888889 0.309791368102 0.00456908880202 0.307616691689 0.0116841230371 49 24 -0.141041368102 -0.407616691689
fw 166 0.139455782313 3 -0.047619047619 42 16 0.1640625 0.264630420771 0.00280076631927 0.142894646012 0.0087367095471 32 39 -0.125174638458 -0.190513693631
fw 167 0.28271484375 4 0.125 32 18 0.0987654320988 0.357520441627 0.003585149044 0.290095455307 0.00901376392859 162 104 -0.074805597877 -0.165095455307
fw 168 0.189453125 3 0.25 16 10 0.16 0.2974715247 0.00519443367827 0.336211718747 0.0133486118285 71 154.5 -0.1080183997 -0.086211718747
fw 169 0.371466140697 4 0.333333333333 39 22 0.0805785123967 0.382608106778 0.00335506112752 0.293909230594 0.00840210441329 240 183 -0.011141966081 0.039424102739
fw 170 0.434911242604 3 0.538461538462 13 10 0.13 0.337967119798 0.00588289697389 0.416072502478 0.0141001200023 273 244 0.096944122806 0.122389035984
